original,translation
big glasses,.
big hair,.
big hands,.
big head,.
big horn,.
big iris,.
big knot,.
big moobs,.
big muscles,.
big nipples,
big nose,.
big pecs,.
big penis,
big pubes,.
big pupils,.
big pussy,
big sheath,.
big tail,.
big teats,.
big teeth,.
big tongue,.
big wings,.
bighorn sheep,.
bikini,
bikini armor,
bikini aside,
bikini bottom,
bikini pull,
bikini removed,.
bikini thong,
bikini top,
bimbo lip,
bimbofication,
binder (restraint),
binoculars,
bioluminescence,
bionic arm,
bionics,.
biped,.
bipedal feral,.
bird,
bird's-eye view,
bird dog,.
bird humanoid,.
bird legs,.
bird wyvern,.
birdo,.
birth,.
birthday,.
birthday cake,
birthmark,.
bisexual,.
bisexual pride colors,.
bisexual sandwich,.
bison,.
bit gag,
bitchsuit,
bite,
bite mark,
biting another,
biting lip,
biting own lip,
black-backed jackal,.
black and blue,.
black and grey,.
black and white,
black anus,.
black areola,.
black arms,.
black armwear,.
black background,
black balls,.
black bars,
black beak,.
black bear,.
black beard,.
black belly,.
black belt,.
black bikini,
black body,.
black bodysuit,
black boots,
black border,
black bottomwear,
black bra,
black breasts,.
black butt,.
black chastity cage,.
black choker,
black claws,.
black clothing,.
black collar,
black countershading,.
black cum,.
black dress,
black ear tips,.
black ears,.
black elbow gloves,
black exoskeleton,.
black eye (injury),
black eyebrows,.
black eyeliner,
black eyes,.
black eyeshadow,
black eyewear,.
black face,.
black facial hair,.
black feathers,.
black feet,.
black fingerless gloves,.
black fingernails,
black fingers,.
black footwear,.
black fur,.
black glans,.
black glasses,.
black gloves,
black goo,.
black hair,.
black hands,.
black handwear,.
black hat,.
black headwear,.
black high heels,.
black highlights,.
black hoodie,.
black hooves,
black horn,.
black inner ear,.
black inner pussy,.
black jacket,.
black jewelry,.
black latex,
black leash,
black leggings,.
black legs,.
black legwear,.
black leotard,
black lingerie,
black lips,.
black lipstick,
black mane,.
black markings,.
black mask,.
black nails,
black necklace,.
black necktie,.
black nipples,.
black nose,.
black outline,
black panties,
black pants,.
black pawpads,.
black paws,.
black penis,.
black perineum,.
black pubes,.
black pussy,.
black scales,.
black sclera,
black sheath,.
black shirt,.
black shoes,.
black shorts,.
black skin,.
black skinsuit,
black skirt,.
black socks,.
black speech bubble,.
black spikes,.
black spots,.
black stockings,
black stripes,.
black suit,.
black sweater,.
black swimwear,
black t-shirt,.
black tail,.
black tail tip,.
black tank top,
black text,.
black thigh highs,
black thigh socks,
black thong,
black tie (suit),
black tongue,.
black topwear,.
black tuft,.
black underwear,
black vest,
black whiskers,.
black wings,.
blade,
blade arm,.
blank stare,
blanket,
blastoise,.
blattodea,.
blaze (marking),.
blaziken,.
blender cycles,3d
blep,
blin (tloz),.
blind,.
blind eye,
blindfold,
blinds,
bloated,.
blockage (layout),.
blonde eyebrows,.
blonde hair,.
blonde highlights,.
blonde mane,.
blonde pubes,.
blood,
blood elf,.
blood from mouth,
blood from pussy,
blood in mouth,
blood in pussy,
blood on clothing,
blood on face,
blood on hand,
blood on weapon,
blood splatter,
bloodshot eyes,
blorp,.
blouse,
blowing bubble gum,
blowing kiss,
blowup background,.
blue and white,.
blue anus,.
blue areola,.
blue arms,.
blue armwear,.
blue background,
blue balls,.
blue belly,.
blue bikini,
blue blush,.
blue body,.
blue boots,.
blue border,.
blue bottomwear,.
blue bow,.
blue bra,.
blue breasts,.
blue briefs,.
blue butt,.
blue claws,.
blue clothing,.
blue collar,.
blue countershading,.
blue cum,.
blue dildo,.
blue dress,.
blue ears,.
blue eyebrows,.
blue eyes,.
blue eyeshadow,.
blue face,.
blue feathers,.
blue feet,.
blue fingers,.
blue fire,.
blue footwear,.
blue fur,.
blue glans,.
blue gloves,.
blue glow,.
blue hair,.
blue hands,.
blue handwear,.
blue hat,.
blue headwear,.
blue highlights,.
blue hoodie,.
blue hooves,.
blue horn,.
blue inner ear,.
blue inner ear fluff,.
blue inner pussy,.
blue insides,.
blue jacket,.
blue jay,.
blue jeans,.
blue kerchief,.
blue legs,.
blue legwear,.
blue lips,.
blue lipstick,.
blue mane,.
blue markings,.
blue mouth,.
blue nails,.
blue necktie,.
blue nipples,.
blue nose,.
blue panties,.
blue pants,.
blue pawpads,.
blue paws,.
blue penis,.
blue perineum,.
blue pupils,.
blue pussy,.
blue ribbon,.
blue scales,.
blue scarf,.
blue sclera,.
blue seam underwear,.
blue shirt,.
blue shoes,.
blue shorts,.
blue skin,.
blue skirt,.
blue sky,.
blue socks,.
blue spots,.
blue stripes,.
blue sweater,.
blue swimwear,.
blue t-shirt,.
blue tail,.
blue tank top,.
blue tentacles,.
blue text,.
blue theme,.
blue thigh highs,.
blue tongue,.
blue topwear,.
blue underwear,.
blue vest,.
blue wings,.
blue yoshi,.
bluebird,.
blunt bangs,.
blurred background,
blurred foreground,
blush,blushing
blush lines,blushing
blush stickers,.
blushing profusely,blushing
